LABELS	cjie1	cjie2	cjie4	cjie5	pTet	pVir	Glucose	FucP	GGT	DMSO/TMAO	Vit12	Alchool	Sulfo	Arsenic 	Paratose	Heptose	AadE	Recomb
21471	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	45
24467	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	100	0	51
25100	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	45
16241	92	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	46
22251	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	45
22291	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	47
22322	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	46
22324	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	40
22661	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	55
23959	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	51
24590	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	46
25394	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	42
25433	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	48
25493	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	45
27945	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	48
24798	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	48
16343	0	0	0	0	74	0	0	0	100	100	100	0	0	100	100	0	0	41
22369	97	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	41
24587	94	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	41
24589	97	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	38
25528	91	0	0	0	83	0	0	0	100	100	100	0	0	0	100	0	0	37
26029	0	0	0	0	0	0	0	0	100	100	100	0	0	100	100	0	0	39
26037	0	0	0	0	0	0	0	0	100	100	100	0	0	100	100	0	0	40
26055	0	0	0	0	0	0	0	0	100	100	100	0	0	100	100	0	0	40
21195	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	52
24986	97	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	54
NC-017280	0	0	0	0	0	0	0	0	100	100	0	0	0	0	100	0	0	0
21325	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	60
21112	0	0	0	0	0	0	0	0	0	100	100	0	0	0	0	0	0	51
23909	0	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	65
23914	0	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	64
23915	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	65
27872	0	0	0	0	0	0	0	0	100	100	100	0	0	0	100	0	0	66
27875	0	0	0	94	0	0	0	0	100	100	100	0	0	0	100	0	0	67
25014	96	0	0	0	0	84	0	0	100	100	100	0	0	0	100	0	0	30
7-1C	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
BRTI	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	0
4028	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	0	26
3721-04	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
2445-08	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
3222-08	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	26
11962-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	20
5894-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	26
5913-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6390-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6391-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6392-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6393-12	87	0	0	0	0	69	0	0	100	100	100	0	100	100	0	50	100	25
6395-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6544-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	26
6545-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
6546-12	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	25
FB01383	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	0
FB01393	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	50	100	0
FB01409	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01416	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01433	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01457	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01492	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01511	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01618	89	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FB01765	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
KO-27699	87	65	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
24459	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	26
16118	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	21
16328	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	24
18354	87	69	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	28
21210	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	25
22325	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	20
24980	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	25
27939	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	26
22707	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	0	25
22723	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	26
KO27605	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
S28-1	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FI25	87	0	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
KO-27672	87	65	0	0	0	0	0	0	100	100	100	0	100	100	0	100	100	0
FI39	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	0
24777	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	40
25606	0	78	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	41
25629	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	41
3485-08	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	44
12xb-542	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	43
5760-12	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	46
5761-12	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	44
5762-12	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	44
6179-12	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	44
FB01541	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	0
S17-1	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	0
21372	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	45
16232	94	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	50
22245	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	50
22308	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	46
22677	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	46
24012	91	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	50
24596	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	44
24973	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	48
25515	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	50
27930	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	52
24193	0	0	0	0	0	0	0	0	100	100	100	100	0	100	0	0	0	42
26024	0	0	0	0	73	0	0	0	0	100	100	100	0	100	0	0	0	43
28057	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	43
S16-1	0	0	0	0	0	0	0	0	0	100	100	100	0	100	0	0	0	0
IHV116260	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
540	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
71712-Vihti	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	12
2719-04	100	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3452-04	100	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3455-04	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3461-04	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3578-04	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
49-8S	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
49-9S	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
5280-04	100	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	2
6288-04	89	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6934-04	89	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3960-08	98	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3976-08	0	71	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3977-08	0	71	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3978-08	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3979-08	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
3980-08	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
4080-08	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
10031-12	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	4
10515-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
1994-12	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	5
1995-12	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	4
3488-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6190-12	98	74	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	10
6236-12	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6237-12	0	71	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6241-12	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	10
6242-12	98	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	10
6497-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6498-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6538-12	0	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6540-12	97	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6541-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6543-12	98	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
6614-12	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
9814-12	99	74	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
FB01495	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
KO-27670	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
24772	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	3
24811	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	2
24817	0	71	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
24819	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	2
16056	0	0	98	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
16075	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
16110	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
16136	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	5
23667	0	76	0	0	77	0	0	0	0	100	100	0	0	100	0	100	0	1
22089	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22201	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
22205	0	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22212	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22258	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22272	0	75	0	0	0	67	0	0	0	100	100	0	0	100	0	100	0	1
22281	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22356	0	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
23907	94	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
24914	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
24563	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
24575	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
24583	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25041	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25051	92	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25052	92	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25387	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	3
25491	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
27900	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	4
28050	0	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22716	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
22729	0	67	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25964	97	73	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	1
25985	96	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	5
26018	96	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	5
26026	96	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	3
26038	0	75	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	2
26062	96	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	5
6098-04	0	0	85	0	0	0	0	0	0	100	100	0	0	100	0	100	0	3
FI44	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
LS37125S	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
KO-27633	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
KO27634	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
VJA6	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	0
3976-04	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	43
5440-04	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	50
21316	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	57
16214	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	58
16373	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	60
22111	98	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	56
23937	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	53
24611	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	56
22725	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	57
3458-04	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	27
5095-04	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	17
5096-04	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	18
24787	96	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	30
21185	0	84	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	18
22090	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	26
22091	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	26
22344	92	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	26
22365	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	27
22676	0	0	98	0	0	0	0	0	100	100	0	0	0	100	0	100	0	28
23883	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	28
24024	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	26
25589	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	28
28027	0	0	0	0	72	0	0	0	100	100	0	0	0	100	0	100	0	29
18439	99	0	0	0	0	0	0	0	100	0	0	0	0	100	0	100	0	26
25960	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	100	0	31
21248	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	100	0	32
3315-08	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	48
22316	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	65
22350	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	55
22377	100	75	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	52
22670	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	59
27961	98	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	48
25390	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	55
25399	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	62
21184	0	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	42
23683	99	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	52
16155	94	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	59
16364	92	0	0	0	0	0	0	0	100	100	0	0	0	100	0	0	0	60
16307	93	0	0	0	0	0	0	0	0	100	0	0	0	100	0	100	0	81
16090	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	100	0	27
16148	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	21
16162	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	21
18360	0	0	0	0	0	0	0	0	100	100	100	0	0	100	0	100	0	30
27912	0	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	24
27916	97	0	0	0	0	0	0	0	0	100	100	0	0	100	0	0	0	21
49-1S	0	78	0	0	0	0	0	0	100	100	100	0	0	0	0	100	0	28
49-15S	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	100	0	28
21250	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	100	0	28
25547	0	0	0	0	0	0	0	0	100	100	100	0	0	0	0	100	0	29
2176-08	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	73
3217-08	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	80
6539-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	73
6542-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	73
6613-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6673-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6675-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6677-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6678-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6679-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6680-12	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	74
6970-12	99	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	71
6971-12	99	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	71
FB01617	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0
FB6371	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0
22275	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	69
27938	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	72
2537-08	99	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	79
22213	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	78
FI27	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0
5288-04	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	71
24731	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	100	71
24766	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	57
16111	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	0	47
23564	94	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	73
24591	0	0	0	0	0	0	0	0	100	0	0	0	0	100	100	0	0	76
24610	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	48
FI17	0	0	0	0	0	0	0	0	100	0	0	0	0	100	0	0	100	0
21314	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	100	0	137
4381-04	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	141
4384-04	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	141
4385-04	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	140
